Player,Pos,Age,Team,GP,MinOn,Win_pct,AdjPPG,End Elo,absDelta,relDelta,EPG,teamRank,Market Value
Aaron Connolly,F,20,Brighton,24,1317,29.2,1.25,1765.0,62.0,3.64,1.58,2,4.0
Aaron Cresswell,D,30,WestHam,31,2889,29.0,1.1,1748.0,20.0,1.18,0.56,7,6.5
Aaron Lennon,M,32,Burnley,16,560,12.5,0.75,1656.0,-76.0,-4.41,-1.84,21,2.4
Aaron Mooy,F,29,Brighton,31,2189,16.1,0.9,1727.0,11.0,0.62,0.38,12,9.5
Aaron Ramsdale,G,22,Bournemouth,37,3542,24.3,0.92,1739.0,7.0,0.4,0.27,2,12.5
Aaron Wan-Bissaka,D,22,ManUnited,35,3261,51.4,1.83,1934.0,112.0,6.15,2.17,5,32.0
Abdoulaye Doucouré,M,27,Watford,37,3316,21.6,0.89,1675.0,-16.0,-0.93,-0.13,20,20.0
Adam Idah,F,19,Norwich,12,272,0.0,0.67,1669.0,-49.0,-2.86,-1.24,12,0.9
Adam Lallana,M,31,Liverpool,15,431,40.0,1.6,1861.0,-11.0,-0.57,-0.07,23,9.5
Adam Masina,D,26,Watford,26,1950,15.4,0.81,1672.0,-46.0,-2.69,-0.8,22,5.5
Adam Smith,D,29,Bournemouth,24,2160,20.8,0.83,1645.0,-80.0,-4.63,-1.6,27,7.0
Adam Webster,D,25,Brighton,31,2826,19.4,1.0,1742.0,42.0,2.47,0.98,8,12.0
Adama Traoré,F,24,Wolves,37,2767,43.2,1.7,1896.0,132.0,7.49,2.44,2,25.5
Adrian Mariappa,D,33,Watford,20,1617,25.0,1.05,1703.0,5.0,0.3,0.34,11,1.6
Adrián,G,33,Liverpool,11,925,81.8,2.55,1933.0,60.0,3.23,2.17,19,4.0
Ahmed Elmohamady,D,32,AstonVilla,18,1113,22.2,0.89,1708.0,2.0,0.1,0.28,14,2.0
Ainsley Maitland-Niles,D,22,Arsenal,20,1499,35.0,1.45,1835.0,2.0,0.12,0.26,13,14.5
Akin Famewo,M,21,Norwich,1,2,0.0,1.0,1714.0,0.0,0.0,0.4,3,0.025
Albian Ajeti,F,23,WestHam,9,181,11.1,1.0,1735.0,-8.0,-0.47,0.02,14,4.8
Alex Iwobi,M,24,Everton,25,1675,20.0,1.0,1724.0,-31.0,-1.78,-0.49,17,25.5
Alex McCarthy,G,30,Southampton,28,2688,46.4,1.57,1862.0,164.0,9.69,3.55,2,4.0
Alex Oxlade-Chamberlain,F,26,Liverpool,30,1555,63.3,2.13,1925.0,44.0,2.36,1.04,21,28.0
Alexander Tettey,M,34,Norwich,30,2437,16.7,0.67,1595.0,-110.0,-6.43,-2.0,25,1.6
Alexandre Lacazette,F,29,Arsenal,30,1988,43.3,1.67,1868.0,32.0,1.72,0.8,6,48.0
Alexis Mac Allister,F,21,Brighton,9,378,22.2,1.22,1726.0,4.0,0.23,0.43,13,11.0
Alireza Jahanbakhsh,F,26,Brighton,10,336,30.0,1.3,1736.0,13.0,0.73,0.71,10,6.5
Alisson,G,27,Liverpool,29,2682,79.3,2.48,2004.0,90.0,4.71,1.99,8,72.0
Allan Saint-Maximin,F,23,Newcastle,26,1945,34.6,1.46,1831.0,85.0,4.85,2.01,1,20.0
Andre Gray,F,29,Watford,23,845,8.7,0.74,1645.0,-56.0,-3.27,-1.08,25,9.5
Andreas Christensen,D,24,Chelsea,21,1857,47.6,1.62,1822.0,31.0,1.75,0.95,19,24.0
Andreas Pereira,F,24,ManUnited,25,1555,28.0,1.28,1798.0,-11.0,-0.63,-0.05,20,16.0
