Player,Pos,Age,Team,Venue,GF,GA,Opponent,MatchID,Round,Date,Score,Start Time,End Time,Minutes Played,Start Result,End Result,Result,Points,MOTM,Status,influence,bonus,total_points,bps,PM,GFteam,GAteam,TeamGF,TeamGA,TeamPM,TeamResult,Start Elo,K,Q,End Elo,E_i,C_i,Rating Change,avg_match_bps,maxbps,avg_match_inf,maxinf,adjBonus
Stephy Mavididi,LW,26.0,Leicester,Home,1.0,3.0,Forest,81.0,9,2024-10-25,1–3,0.0,68.0,68,0-0,1-3,0.0,0.0,False,Other,0.0,0.0,1.0,2.0,-2.0,1.0,3.0,1.0,3.0,-2.0,L,1762.4906346553046,28.0,0.7999999999999998,1737.2766899363567,0.6067159480650108,-0.7644141942740318,-25.213944718947985,11.033333333333333,60.0,15.553333333333335,66.4,-0.23423694779116466
Jordan Ayew,LW,33.0,Leicester,Home,1.0,3.0,Forest,81.0,9,2024-10-25,1–3,68.0,98.0,30,1-3,1-3,0.5,1.0,False,Other,0.0,0.0,0.0,-2.0,0.0,1.0,3.0,1.0,3.0,-2.0,L,1720.1848992165947,28.5,0.8249999999999998,1718.1274206476685,0.547356925042855,-0.014497017870261749,-2.0574785689262285,11.033333333333333,60.0,15.553333333333335,66.4,-0.23423694779116466
Abdul Fatawu Issahaku,"RW,RM",20.0,Leicester,Home,1.0,3.0,Forest,81.0,9,2024-10-25,1–3,0.0,98.0,98,0-0,1-3,0.0,0.0,False,Other,11.2,0.0,2.0,11.0,-2.0,1.0,3.0,1.0,3.0,-2.0,L,1687.854975487106,28.0,0.7999999999999998,1667.7127093281422,0.5009727991251012,-0.6311861750424709,-20.142266158963842,11.033333333333333,60.0,15.553333333333335,66.4,-0.06556224899598397
Facundo Buonanotte,"AM,CM",19.0,Leicester,Home,1.0,3.0,Forest,81.0,9,2024-10-25,1–3,0.0,98.0,98,0-0,1-3,0.0,0.0,False,Other,22.6,0.0,2.0,15.0,-2.0,1.0,3.0,1.0,3.0,-2.0,L,1794.1130550722592,29.0,0.8499999999999999,1772.6201595276414,0.6492084949554302,-0.8179514485649161,-21.49289554461772,11.033333333333333,60.0,15.553333333333335,66.4,0.10612449799196787
Harry Winks,"DM,LM",28.0,Leicester,Home,1.0,3.0,Forest,81.0,9,2024-10-25,1–3,0.0,98.0,98,0-0,1-3,0.0,0.0,False,Other,29.4,0.0,4.0,23.0,-2.0,1.0,3.0,1.0,3.0,-2.0,L,1705.730991727438,29.0,0.8499999999999999,1689.7124899170847,0.5266731101012716,-0.6635665378301923,-16.018501810353417,11.033333333333333,60.0,15.553333333333335,66.4,0.2085341365461847
Wilfred Ndidi,"DM,CM",27.0,Leicester,Home,1.0,3.0,Forest,81.0,9,2024-10-25,1–3,0.0,74.0,74,0-0,1-3,0.0,0.0,False,Other,8.6,0.0,2.0,11.0,-2.0,1.0,3.0,1.0,3.0,-2.0,L,1740.1228067384109,28.0,0.7999999999999998,1718.2023888927954,0.5756079284444292,-0.7252205455335183,-21.920417845615482,11.033333333333333,60.0,15.553333333333335,66.4,-0.10471887550200805
Boubakary Soumaré,CM,25.0,Leicester,Home,1.0,3.0,Forest,81.0,9,2024-10-25,1–3,74.0,98.0,24,1-3,1-3,0.5,1.0,False,Other,1.0,0.0,0.0,2.0,0.0,1.0,3.0,1.0,3.0,-2.0,L,1718.2296909806055,34.0,1.0,1717.534872535401,0.544566938110433,-0.01091435219031012,-0.6948184452043152,11.033333333333333,60.0,15.553333333333335,66.4,-0.21917670682730925
James Justin,"LB,CB",26.0,Leicester,Home,1.0,3.0,Forest,81.0,9,2024-10-25,1–3,0.0,98.0,98,0-0,1-3,0.0,0.0,False,Other,21.6,0.0,1.0,0.0,-2.0,1.0,3.0,1.0,3.0,-2.0,L,1720.0924536102586,28.0,0.7999999999999998,1701.724417505837,0.5472250752642577,-0.6894603913557446,-18.368036104421645,11.033333333333333,60.0,15.553333333333335,66.4,0.09106425702811244
Caleb Okoli,CB,23.0,Leicester,Home,1.0,3.0,Forest,81.0,9,2024-10-25,1–3,0.0,98.0,98,0-0,1-3,0.0,0.0,False,Other,36.6,0.0,1.0,12.0,-2.0,1.0,3.0,1.0,3.0,-2.0,L,1736.4287765261986,29.0,0.8499999999999999,1721.677181436021,0.5704051829051123,-0.7186654969112863,-14.751595090177403,11.033333333333333,60.0,15.553333333333335,66.4,0.31696787148594374
Wout Faes,CB,26.0,Leicester,Home,1.0,3.0,Forest,81.0,9,2024-10-25,1–3,0.0,98.0,98,0-0,1-3,0.0,0.0,False,Other,9.2,0.0,1.0,0.0,-2.0,1.0,3.0,1.0,3.0,-2.0,L,1730.1676439198473,28.0,0.7999999999999998,1707.5827498216684,0.5615518375185726,-0.7075109806967953,-22.584894098178943,11.033333333333333,60.0,15.553333333333335,66.4,-0.0956827309236948
Ricardo Pereira,RB,31.0,Leicester,Home,1.0,3.0,Forest,81.0,9,2024-10-25,1–3,0.0,68.0,68,0-0,1-3,0.0,0.0,False,Other,9.4,0.0,0.0,1.0,-2.0,1.0,3.0,1.0,3.0,-2.0,L,1725.4151324216618,32.0,1.0,1700.3583750401435,0.5548051316007857,-0.6990106638935252,-25.056757381518207,11.033333333333333,60.0,15.553333333333335,66.4,-0.0926706827309237
Bilal El Khannouss,RW,20.0,Leicester,Home,1.0,3.0,Forest,81.0,9,2024-10-25,1–3,68.0,98.0,30,1-3,1-3,0.5,1.0,False,Other,0.6,0.0,1.0,0.0,0.0,1.0,3.0,1.0,3.0,-2.0,L,1676.7194779845413,31.0,0.95,1676.1708793082973,0.4849520769965794,0.004606507041863454,-0.5485986762440178,11.033333333333333,60.0,15.553333333333335,66.4,-0.2252008032128514
Mads Hermansen,GK,24.0,Leicester,Home,1.0,3.0,Forest,81.0,9,2024-10-25,1–3,0.0,98.0,98,0-0,1-3,0.0,0.0,False,Other,18.6,0.0,1.0,5.0,-2.0,1.0,3.0,1.0,3.0,-2.0,L,1738.0724795085196,28.0,0.7999999999999998,1718.1048497050022,0.5727221991676168,-0.7215847544733645,-19.967629803517312,11.033333333333333,60.0,15.553333333333335,66.4,0.04588353413654618
Chris Wood,FW,32.0,Forest,Away,3.0,1.0,Leicester,81.0,9,2024-10-25,1–3,0.0,81.0,81,0-0,1-3,1.0,3.0,True,Starter,66.4,3.0,13.0,60.0,2.0,1.0,3.0,3.0,1.0,2.0,W,1772.3263028382703,28.0,0.7999999999999998,1819.6328358783405,0.48289801988462905,0.651507669689676,47.30653304007026,11.033333333333333,60.0,15.553333333333335,66.4,0.7657630522088353
Taiwo Awoniyi,FW,27.0,Forest,Away,3.0,1.0,Leicester,81.0,9,2024-10-25,1–3,81.0,98.0,17,1-3,1-3,0.5,1.0,False,Sub,0.0,0.0,1.0,0.0,0.0,1.0,3.0,3.0,1.0,2.0,W,1687.8472756676863,31.0,0.95,1688.521636933932,0.3647665549503957,0.02345886291676809,0.6743612662458265,11.033333333333333,60.0,15.553333333333335,66.4,-0.23423694779116466
Callum Hudson-Odoi,"LW,LM",23.0,Forest,Away,3.0,1.0,Leicester,81.0,9,2024-10-25,1–3,0.0,76.0,76,0-0,1-3,1.0,3.0,False,Starter,16.8,0.0,2.0,14.0,2.0,1.0,3.0,3.0,1.0,2.0,W,1777.1823307347934,28.0,0.7999999999999998,1794.9720992041846,0.48988111363357484,0.64270952288199,17.78976846939129,11.033333333333333,60.0,15.553333333333335,66.4,0.018775100401606418
Ramón Sosa,LM,25.0,Forest,Away,3.0,1.0,Leicester,81.0,9,2024-10-25,1–3,76.0,98.0,22,1-3,1-3,0.5,1.0,False,Transfer,3.8,0.0,1.0,7.0,0.0,1.0,3.0,3.0,1.0,2.0,W,1744.6386627883955,31.0,0.95,1745.1493380024513,0.4432906885908546,0.012730661744910197,0.5106752140557499,11.033333333333333,60.0,15.553333333333335,66.4,-0.17700803212851404
Anthony Elanga,"RW,RM",22.0,Forest,Away,3.0,1.0,Leicester,81.0,9,2024-10-25,1–3,0.0,76.0,76,0-0,1-3,1.0,3.0,False,Starter,1.6,0.0,2.0,5.0,2.0,1.0,3.0,3.0,1.0,2.0,W,1720.911200983828,28.0,0.7999999999999998,1736.486703832989,0.40989396568212194,0.7434870143070811,15.575502849160985,11.033333333333333,60.0,15.553333333333335,66.4,-0.210140562248996
Jota Silva,RM,25.0,Forest,Away,3.0,1.0,Leicester,81.0,9,2024-10-25,1–3,76.0,98.0,22,1-3,1-3,0.5,1.0,False,Transfer,1.0,0.0,1.0,5.0,0.0,1.0,3.0,3.0,1.0,2.0,W,1739.0686184305534,28.5,0.8249999999999998,1739.9519405847682,0.43539290296704386,0.01450363402780648,0.8833221542147273,11.033333333333333,60.0,15.553333333333335,66.4,-0.21917670682730925
Elliot Anderson,AM,21.0,Forest,Away,3.0,1.0,Leicester,81.0,9,2024-10-25,1–3,0.0,72.0,72,0-0,1-3,1.0,3.0,False,Transfer,14.6,0.0,5.0,21.0,2.0,1.0,3.0,3.0,1.0,2.0,W,1707.9291586699378,28.0,0.7999999999999998,1727.7055876679333,0.39194724926558944,0.7660984600967642,19.776428997995392,11.033333333333333,60.0,15.553333333333335,66.4,-0.014357429718875525
Neco Williams,LB,23.0,Forest,Away,3.0,1.0,Leicester,81.0,9,2024-10-25,1–3,72.0,98.0,26,1-3,1-3,0.5,1.0,False,Starter,5.0,0.0,1.0,8.0,0.0,1.0,3.0,3.0,1.0,2.0,W,1730.0834973523276,28.0,0.7999999999999998,1731.3517163752824,0.422723329602933,0.02050197377881369,1.268219022954781,11.033333333333333,60.0,15.553333333333335,66.4,-0.15893574297188756
Nicolás Domínguez,"DM,CM",26.0,Forest,Away,3.0,1.0,Leicester,81.0,9,2024-10-25,1–3,0.0,98.0,98,0-0,1-3,1.0,3.0,False,Starter,15.4,0.0,1.0,9.0,2.0,1.0,3.0,3.0,1.0,2.0,W,1685.825491097051,30.0,0.8999999999999999,1709.588794583236,0.36207408383389295,0.8037362900511504,23.76330348618484,11.033333333333333,60.0,15.553333333333335,66.4,-0.0023092369477911777
Ryan Yates,"DM,CM",26.0,Forest,Away,3.0,1.0,Leicester,81.0,9,2024-10-25,1–3,0.0,98.0,98,0-0,1-3,1.0,3.0,False,Starter,46.4,1.0,8.0,31.0,2.0,1.0,3.0,3.0,1.0,2.0,W,1746.5381472031595,28.0,0.7999999999999998,1775.2257753587626,0.4459907495925367,0.6980079164248428,28.68762815560313,11.033333333333333,60.0,15.553333333333335,66.4,0.4645582329317268
Álex Moreno,LB,31.0,Forest,Away,3.0,1.0,Leicester,81.0,9,2024-10-25,1–3,0.0,72.0,72,0-0,1-3,1.0,3.0,False,Transfer,9.4,0.0,1.0,2.0,2.0,1.0,3.0,3.0,1.0,2.0,W,1729.3678762365066,29.5,0.8749999999999999,1748.166717273748,0.4217183893934529,0.7285891739702991,18.798841037241335,11.033333333333333,60.0,15.553333333333335,66.4,-0.0926706827309237
Morato,CB,23.0,Forest,Away,3.0,1.0,Leicester,81.0,9,2024-10-25,1–3,72.0,98.0,26,1-3,1-3,0.5,1.0,False,Transfer,8.2,0.0,1.0,6.0,0.0,1.0,3.0,3.0,1.0,2.0,W,1718.6108730221613,30.5,0.9249999999999999,1719.6128260243627,0.40669490245670087,0.024754413633936507,1.0019530022013412,11.033333333333333,60.0,15.553333333333335,66.4,-0.11074297188755022
Murillo,CB,22.0,Forest,Away,3.0,1.0,Leicester,81.0,9,2024-10-25,1–3,0.0,98.0,98,0-0,1-3,1.0,3.0,False,Starter,30.8,0.0,2.0,12.0,2.0,1.0,3.0,3.0,1.0,2.0,W,1750.1407910341165,28.0,0.7999999999999998,1774.0484279853922,0.45112043844978644,0.6915449134541828,23.907636951275755,11.033333333333333,60.0,15.553333333333335,66.4,0.2296184738955823
Nikola Milenković,CB,27.0,Forest,Away,3.0,1.0,Leicester,81.0,9,2024-10-25,1–3,0.0,98.0,98,0-0,1-3,1.0,3.0,False,Transfer,11.2,0.0,1.0,5.0,2.0,1.0,3.0,3.0,1.0,2.0,W,1755.189259775334,28.5,0.8249999999999998,1773.4731336014645,0.4583260638444033,0.6824663943418479,18.283873826130446,11.033333333333333,60.0,15.553333333333335,66.4,-0.06556224899598397
Ola Aina,RB,28.0,Forest,Away,3.0,1.0,Leicester,81.0,9,2024-10-25,1–3,0.0,98.0,98,0-0,1-3,1.0,3.0,False,Starter,20.6,0.0,2.0,17.0,2.0,1.0,3.0,3.0,1.0,2.0,W,1761.170188704218,28.0,0.7999999999999998,1781.6123544081915,0.46688495384426904,0.6716828686672824,20.44216570397364,11.033333333333333,60.0,15.553333333333335,66.4,0.07600401606425702
Matz Sels,GK,32.0,Forest,Away,3.0,1.0,Leicester,81.0,9,2024-10-25,1–3,0.0,98.0,98,0-0,1-3,1.0,3.0,False,Sub,2.6,0.0,5.0,13.0,2.0,1.0,3.0,3.0,1.0,2.0,W,1772.2486116398118,28.0,0.7999999999999998,1787.1794302736553,0.482786344922275,0.651648371325492,14.930818633843584,11.033333333333333,60.0,15.553333333333335,66.4,-0.19508032128514058
Danny Welbeck,FW,33.0,Brighton,Home,2.0,2.0,Wolves,82.0,9,2024-10-26,2–2,0.0,73.0,73,0-0,1-0,1.0,3.0,True,Starter,30.4,1.0,7.0,27.0,1.0,2.0,2.0,2.0,2.0,0.0,D,1842.2891313541706,28.0,0.7999999999999998,1849.0609959524836,0.7940738312477454,0.20592616875225456,6.77186459831298,11.25,44.0,18.23125,51.2,0.23767089843749997
Evan Ferguson,FW,20.0,Brighton,Home,2.0,2.0,Wolves,82.0,9,2024-10-26,2–2,73.0,97.0,24,1-0,2-2,0.0,0.0,False,Sub,32.0,2.0,7.0,29.0,-1.0,2.0,2.0,2.0,2.0,0.0,D,1769.0714876326238,30.5,0.9249999999999999,1754.1942484613164,0.716706734691856,-0.716706734691856,-14.877239171307412,11.25,44.0,18.23125,51.2,0.2689208984375
Georginio Rutter,FW,22.0,Brighton,Home,2.0,2.0,Wolves,82.0,9,2024-10-26,2–2,0.0,80.0,80,0-0,1-0,1.0,3.0,False,Transfer,20.0,0.0,5.0,15.0,1.0,2.0,2.0,2.0,2.0,0.0,D,1782.8840283435886,28.5,0.8249999999999998,1788.4147130822787,0.7325689091127896,0.2674310908872104,5.53068473869006,11.25,44.0,18.23125,51.2,0.034545898437500014
Tariq Lamptey,RB,24.0,Brighton,Home,2.0,2.0,Wolves,82.0,9,2024-10-26,2–2,80.0,97.0,17,1-0,2-2,0.0,0.0,False,Sub,22.2,0.0,3.0,5.0,-1.0,2.0,2.0,2.0,2.0,0.0,D,1757.3064965472722,32.0,1.0,1736.5614504963737,0.7027566215469114,-0.7027566215469114,-20.745046050898477,11.25,44.0,18.23125,51.2,0.0775146484375
Kaoru Mitoma,LM,27.0,Brighton,Home,2.0,2.0,Wolves,82.0,9,2024-10-26,2–2,0.0,89.0,89,0-0,2-1,1.0,3.0,False,Starter,7.0,0.0,2.0,6.0,1.0,2.0,2.0,2.0,2.0,0.0,D,1775.770249590961,28.0,0.7999999999999998,1779.6697224624943,0.7244702877671514,0.2755297122328486,3.8994728715334612,11.25,44.0,18.23125,51.2,-0.21936035156249997
Julio Enciso,LM,20.0,Brighton,Home,2.0,2.0,Wolves,82.0,9,2024-10-26,2–2,89.0,97.0,8,2-1,2-2,0.0,0.0,False,Other,1.0,0.0,1.0,3.0,-1.0,2.0,2.0,2.0,2.0,0.0,D,1758.9968161636652,29.5,0.8749999999999999,1734.5888978286089,0.7047851554927984,-0.7047851554927984,-24.407918335056397,11.25,44.0,18.23125,51.2,-0.33654785156249994
Yasin Ayari,CM,21.0,Brighton,Home,2.0,2.0,Wolves,82.0,9,2024-10-26,2–2,0.0,97.0,97,0-0,2-2,0.5,1.0,False,Transfer,16.0,0.0,2.0,11.0,0.0,2.0,2.0,2.0,2.0,0.0,D,1767.9014978476605,30.0,0.8999999999999999,1761.1170773020976,0.715337278374856,-0.21533727837485594,-6.784420545562755,11.25,44.0,18.23125,51.2,-0.043579101562499986
Carlos Baleba,CM,20.0,Brighton,Home,2.0,2.0,Wolves,82.0,9,2024-10-26,2–2,0.0,80.0,80,0-0,1-0,1.0,3.0,False,Sub,19.8,0.0,3.0,23.0,1.0,2.0,2.0,2.0,2.0,0.0,D,1788.23845748047,28.5,0.8249999999999998,1793.6029817864842,0.7385639622394569,0.26143603776054314,5.364524306014189,11.25,44.0,18.23125,51.2,0.030639648437500028
Mats Wieffer,CM,24.0,Brighton,Home,2.0,2.0,Wolves,82.0,9,2024-10-26,2–2,80.0,97.0,17,1-0,2-2,0.0,0.0,False,Transfer,0.0,0.0,1.0,1.0,-1.0,2.0,2.0,2.0,2.0,0.0,D,1733.8535997330573,31.0,0.8999999999999999,1708.1916661484508,0.6738068147747833,-0.6738068147747833,-25.66193358460655,11.25,44.0,18.23125,51.2,-0.35607910156249994
Ferdi Kadioglu,RM,25.0,Brighton,Home,2.0,2.0,Wolves,82.0,9,2024-10-26,2–2,0.0,72.0,72,0-0,1-0,1.0,3.0,False,Transfer,2.8,0.0,6.0,18.0,1.0,2.0,2.0,2.0,2.0,0.0,D,1740.3432245405309,30.5,0.9249999999999999,1746.3399185094206,0.6819637056903788,0.3180362943096212,5.996693968889751,11.25,44.0,18.23125,51.2,-0.30139160156249994
Brajan Gruda,RM,20.0,Brighton,Home,2.0,2.0,Wolves,82.0,9,2024-10-26,2–2,72.0,97.0,25,1-0,2-2,0.0,0.0,False,Transfer,4.0,0.0,1.0,2.0,-1.0,2.0,2.0,2.0,2.0,0.0,D,1745.3182312392357,32.0,1.0,1717.1769681603857,0.6881424537382341,-0.6881424537382341,-28.141263078849892,11.25,44.0,18.23125,51.2,-0.27795410156249994
Pervis Estupiñán,LB,26.0,Brighton,Home,2.0,2.0,Wolves,82.0,9,2024-10-26,2–2,0.0,97.0,97,0-0,2-2,0.5,1.0,False,Sub,29.8,0.0,0.0,15.0,0.0,2.0,2.0,2.0,2.0,0.0,D,1759.5608058091884,30.0,0.8999999999999999,1754.7350609891823,0.7054602005177334,-0.2054602005177334,-4.825744820006076,11.25,44.0,18.23125,51.2,0.22595214843750003
Igor,CB,26.0,Brighton,Home,2.0,2.0,Wolves,82.0,9,2024-10-26,2–2,0.0,97.0,97,0-0,2-2,0.5,1.0,False,Starter,27.6,0.0,0.0,7.0,0.0,2.0,2.0,2.0,2.0,0.0,D,1786.3571777431391,30.5,0.9249999999999999,1780.4785972487896,0.7364675250695003,-0.2364675250695003,-5.878580494349441,11.25,44.0,18.23125,51.2,0.18298339843750003
Jan Paul van Hecke,CB,24.0,Brighton,Home,2.0,2.0,Wolves,82.0,9,2024-10-26,2–2,0.0,97.0,97,0-0,2-2,0.5,1.0,False,Starter,23.6,0.0,1.0,8.0,0.0,2.0,2.0,2.0,2.0,0.0,D,1776.276069208385,30.0,0.8999999999999999,1770.2218845932912,0.7250511274985243,-0.2250511274985243,-6.054184615093944,11.25,44.0,18.23125,51.2,0.10485839843750004
Joël Veltman,"RB,CB",32.0,Brighton,Home,2.0,2.0,Wolves,82.0,9,2024-10-26,2–2,0.0,97.0,97,0-0,2-2,0.5,1.0,False,Starter,8.2,0.0,1.0,4.0,0.0,2.0,2.0,2.0,2.0,0.0,D,1800.711364872575,29.0,0.8499999999999999,1792.0856569834955,0.7521883692916362,-0.25218836929163624,-8.625707889079434,11.25,44.0,18.23125,51.2,-0.1959228515625
Bart Verbruggen,GK,22.0,Brighton,Home,2.0,2.0,Wolves,82.0,9,2024-10-26,2–2,0.0,97.0,97,0-0,2-2,0.5,1.0,False,Starter,45.8,0.0,2.0,15.0,0.0,2.0,2.0,2.0,2.0,0.0,D,1788.9635499259248,29.0,0.8499999999999999,1785.7804387423307,0.7393690992231353,-0.23936909922313532,-3.1831111835939905,11.25,44.0,18.23125,51.2,0.5384521484374999
Jørgen Strand Larsen,FW,24.0,Wolves,Away,2.0,2.0,Brighton,82.0,9,2024-10-26,2–2,0.0,94.0,94,0-0,2-2,0.5,1.0,False,Transfer,12.4,0.0,1.0,10.0,0.0,2.0,2.0,2.0,2.0,0.0,D,1672.7205153545215,28.0,0.7999999999999998,1677.8649928888617,0.2823935361249506,0.21087636705417157,5.144477534340291,11.25,44.0,18.23125,51.2,-0.11389160156249997
André,"CM,FW",23.0,Wolves,Away,2.0,2.0,Brighton,82.0,9,2024-10-26,2–2,94.0,97.0,3,2-2,2-2,0.5,1.0,False,Transfer,0.0,0.0,1.0,3.0,0.0,2.0,2.0,2.0,2.0,0.0,D,1671.0772853688775,29.0,0.8499999999999999,1671.2015854075214,0.28048060697185584,0.006789259578190026,0.12430003864393097,11.25,44.0,18.23125,51.2,-0.35607910156249994
Matheus Cunha,"FW,AM",25.0,Wolves,Away,2.0,2.0,Brighton,82.0,9,2024-10-26,2–2,0.0,97.0,97,0-0,2-2,0.5,1.0,False,Starter,51.2,3.0,9.0,44.0,0.0,2.0,2.0,2.0,2.0,0.0,D,1654.2811107201637,28.0,0.7999999999999998,1664.9033120081615,0.2613882718579785,0.23861172814202147,10.62220128799768,11.25,44.0,18.23125,51.2,0.6439208984375
João Gomes,"CM,AM",23.0,Wolves,Away,2.0,2.0,Brighton,82.0,9,2024-10-26,2–2,0.0,91.0,91,0-0,2-1,0.0,0.0,False,Starter,6.8,0.0,2.0,6.0,-1.0,2.0,2.0,2.0,2.0,0.0,D,1643.9607511449628,28.0,0.7999999999999998,1638.3896194377771,0.25008214819825997,-0.25008214819825997,-5.571131707185632,11.25,44.0,18.23125,51.2,-0.22326660156249997
Gonçalo Guedes,"CM,FW",27.0,Wolves,Away,2.0,2.0,Brighton,82.0,9,2024-10-26,2–2,91.0,97.0,6,2-1,2-2,1.0,3.0,False,Transfer,4.0,0.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,0.0,D,1682.570237895332,30.0,0.8999999999999999,1696.356688277026,0.29402393868270804,0.705976061317292,13.786450381694138,11.25,44.0,18.23125,51.2,-0.27795410156249994
Mario Lemina,CM,31.0,Wolves,Away,2.0,2.0,Brighton,82.0,9,2024-10-26,2–2,0.0,46.0,46,0-0,1-0,0.0,0.0,False,Starter,9.8,0.0,1.0,12.0,-1.0,2.0,2.0,2.0,2.0,0.0,D,1636.5536435002564,28.0,0.7999999999999998,1630.852440409817,0.24217113329330275,-0.24217113329330275,-5.701203090439345,11.25,44.0,18.23125,51.2,-0.16467285156249997
Pablo Sarabia,RM,32.0,Wolves,Away,2.0,2.0,Brighton,82.0,9,2024-10-26,2–2,46.0,97.0,51,1-0,2-2,1.0,3.0,False,Starter,3.8,0.0,1.0,5.0,1.0,2.0,2.0,2.0,2.0,0.0,D,1697.2161263054272,34.0,1.0,1713.9565742246086,0.3118227258934511,0.6881772741065488,16.74044791918138,11.25,44.0,18.23125,51.2,-0.28186035156249994
Tommy Doyle,CM,23.0,Wolves,Away,2.0,2.0,Brighton,82.0,9,2024-10-26,2–2,0.0,97.0,97,0-0,2-2,0.5,1.0,False,Starter,23.4,0.0,5.0,24.0,0.0,2.0,2.0,2.0,2.0,0.0,D,1674.3352430182072,29.5,0.8749999999999999,1681.212764568521,0.2842809722847099,0.2157190277152901,6.877521550313842,11.25,44.0,18.23125,51.2,0.10095214843749999
Rayan Aït-Nouri,"LB,WB",23.0,Wolves,Away,2.0,2.0,Brighton,82.0,9,2024-10-26,2–2,0.0,97.0,97,0-0,2-2,0.5,1.0,False,Starter,46.8,0.0,6.0,16.0,0.0,2.0,2.0,2.0,2.0,0.0,D,1642.066066697374,28.0,0.7999999999999998,1652.598742034684,0.24804227815860874,0.25195772184139126,10.532675337309907,11.25,44.0,18.23125,51.2,0.5579833984374999
Nélson Semedo,"RB,WB",30.0,Wolves,Away,2.0,2.0,Brighton,82.0,9,2024-10-26,2–2,0.0,97.0,97,0-0,2-2,0.5,1.0,False,Starter,40.4,0.0,1.0,8.0,0.0,2.0,2.0,2.0,2.0,0.0,D,1660.8741410730968,29.0,0.8499999999999999,1670.231355757923,0.26878162277747175,0.23121837722252825,9.357214684826134,11.25,44.0,18.23125,51.2,0.43298339843749994
Toti Gomes,CB,25.0,Wolves,Away,2.0,2.0,Brighton,82.0,9,2024-10-26,2–2,0.0,46.0,46,0-0,1-0,0.0,0.0,False,Starter,10.6,0.0,0.0,3.0,-1.0,2.0,2.0,2.0,2.0,0.0,D,1649.351399303764,30.0,0.8999999999999999,1641.694838970046,0.25594675802358946,-0.25594675802358946,-7.656560333718076,11.25,44.0,18.23125,51.2,-0.14904785156249997
Carlos Forbs,LM,20.0,Wolves,Away,2.0,2.0,Brighton,82.0,9,2024-10-26,2–2,46.0,95.0,49,1-0,2-2,1.0,3.0,False,Transfer,0.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,D,1685.4384174426336,30.5,0.9249999999999999,1698.31760624967,0.29746271760915455,0.7025372823908455,12.879188807036268,11.25,44.0,18.23125,51.2,-0.35607910156249994
Rodrigo Gomes,LM,21.0,Wolves,Away,2.0,2.0,Brighton,82.0,9,2024-10-26,2–2,95.0,97.0,2,2-2,2-2,0.5,1.0,False,Transfer,0.0,0.0,1.0,3.0,0.0,2.0,2.0,2.0,2.0,0.0,D,1673.5926302967744,33.0,1.0,1673.6853230730662,0.2834119969048324,0.004465732022580776,0.0926927762917796,11.25,44.0,18.23125,51.2,-0.35607910156249994
Craig Dawson,CB,34.0,Wolves,Away,2.0,2.0,Brighton,82.0,9,2024-10-26,2–2,0.0,97.0,97,0-0,2-2,0.5,1.0,False,Starter,35.8,0.0,4.0,18.0,0.0,2.0,2.0,2.0,2.0,0.0,D,1653.1993155165364,29.0,0.8499999999999999,1662.254389075458,0.26018778668419457,0.23981221331580543,9.055073558921475,11.25,44.0,18.23125,51.2,0.34313964843749994
Santiago Bueno,CB,25.0,Wolves,Away,2.0,2.0,Brighton,82.0,9,2024-10-26,2–2,0.0,97.0,97,0-0,2-2,0.5,1.0,False,Sub,29.0,0.0,1.0,9.0,0.0,2.0,2.0,2.0,2.0,0.0,D,1676.4771391114737,31.0,0.95,1684.3055324976722,0.28679630589077226,0.21320369410922774,7.828393386198501,11.25,44.0,18.23125,51.2,0.2103271484375
José Sá,GK,31.0,Wolves,Away,2.0,2.0,Brighton,82.0,9,2024-10-26,2–2,0.0,97.0,97,0-0,2-2,0.5,1.0,False,Starter,19.2,0.0,2.0,6.0,0.0,2.0,2.0,2.0,2.0,0.0,D,1674.3425581802746,33.0,0.975,1681.4379236098707,0.2842895401760522,0.21571045982394782,7.0953654295961,11.25,44.0,18.23125,51.2,0.0189208984375
Erling Haaland,FW,24.0,ManCity,Home,1.0,0.0,Southampton,83.0,9,2024-10-26,1–0,0.0,98.0,98,0-0,1-0,1.0,3.0,True,Starter,32.0,0.0,6.0,26.0,1.0,1.0,0.0,1.0,0.0,1.0,W,1997.0833136878837,28.0,0.7999999999999998,2002.9185200939876,0.9103988281060751,0.08960117189392491,5.835206406103837,14.137931034482758,32.0,14.096551724137932,41.0,0.4366694701429773
Matheus Nunes,LM,26.0,ManCity,Home,1.0,0.0,Southampton,83.0,9,2024-10-26,1–0,0.0,86.0,86,0-0,1-0,1.0,3.0,False,Other,20.6,0.0,6.0,25.0,1.0,1.0,0.0,1.0,0.0,1.0,W,1884.1894725271882,30.5,0.9249999999999999,1889.6648930533634,0.8413951059051041,0.15860489409489587,5.475420526175077,14.137931034482758,32.0,14.096551724137932,41.0,0.15862068965517243
İlkay Gündoğan,CM,34.0,ManCity,Home,1.0,0.0,Southampton,83.0,9,2024-10-26,1–0,86.0,98.0,12,1-0,1-0,0.5,1.0,False,Transfer,2.2,0.0,1.0,5.0,0.0,1.0,0.0,1.0,0.0,1.0,W,1916.443010404591,28.5,0.8249999999999998,1915.187177540873,0.8646325254506576,-0.04464888066742746,-1.2558328637178746,14.137931034482758,32.0,14.096551724137932,41.0,-0.29015979814970566
