Player,Pos,Age,Team,GP,MinOn,Win_pct,AdjPPG,End Elo,absDelta,relDelta,EPG,teamRank,Market Value
Aaron Connolly,F,21,Brighton,17,836.0,11.8,0.82,1651.0,-29.0,-1.71,-0.52,26,7.0
Aaron Cresswell,D,31,WestHam,36,3345.0,52.8,1.81,1897.0,208.0,12.33,3.9,2,5.0
Aaron Ramsdale,G,23,SheffieldUnited,38,3618.0,18.4,0.61,1653.0,-50.0,-2.94,-0.69,11,12.0
Aaron Wan-Bissaka,D,23,ManUnited,34,3249.0,58.8,2.06,1945.0,117.0,6.41,2.36,3,40.0
Abdoulaye Doucouré,M,28,Everton,29,2567.0,48.3,1.55,1738.0,-17.0,-0.98,-0.15,20,25.0
Aboubakar Kamara,F,25,Fulham,11,350.0,0.0,0.64,1626.0,-43.0,-2.58,-1.07,22,2.0
Adam Lallana,F,33,Brighton,30,1685.0,26.7,1.23,1707.0,17.0,1.0,0.54,14,4.0
Adam Webster,D,26,Brighton,29,2738.0,24.1,1.14,1750.0,72.0,4.28,1.68,5,18.0
Adama Traoré,F,25,Wolves,37,2840.0,29.7,1.24,1722.0,-59.0,-3.33,-0.86,15,30.0
Ademola Lookman,F,23,Fulham,34,2876.0,20.6,1.03,1669.0,-23.0,-1.37,-0.24,10,11.0
Adrián,G,34,Liverpool,3,285.0,33.3,1.33,1851.0,17.0,0.9,1.18,17,1.0
Ahmed Elmohamady,D,33,AstonVilla,14,906.0,14.3,1.07,1717.0,-30.0,-1.74,-0.59,22,1.5
Ahmed Hegazi,D,29,WestBrom,1,94.0,0.0,1.0,1690.0,0.0,0.0,0.48,6,4.0
Ainsley Maitland-Niles,M,23,WestBrom,26,1823.0,23.1,1.15,1700.0,-21.0,-1.16,-0.24,4,16.0
Aleksandar Mitrović,F,26,Fulham,27,1523.0,7.4,0.78,1608.0,-90.0,-5.28,-1.71,25,16.0
Alex Iwobi,M,25,Everton,30,1642.0,33.3,1.47,1766.0,25.0,1.45,0.7,11,22.0
Alex McCarthy,G,31,Southampton,30,2858.0,26.7,1.03,1692.0,-29.0,-1.66,-0.38,22,5.0
Alex Oxlade-Chamberlain,M,27,Liverpool,13,304.0,23.1,1.23,1834.0,-61.0,-3.22,-1.56,24,18.0
Alex Telles,D,28,ManUnited,9,724.0,55.6,1.89,1835.0,18.0,1.02,0.97,20,20.0
Alexandre Jankewitz,M,19,Southampton,2,11.0,0.0,1.0,1750.0,0.0,0.0,0.45,4,0.5
Alexandre Lacazette,F,29,Arsenal,31,2018.0,29.0,1.35,1857.0,53.0,2.93,1.24,3,28.0
Alexis Mac Allister,F,22,Brighton,21,1178.0,19.0,1.05,1703.0,-44.0,-2.5,-0.83,17,10.0
Alireza Jahanbakhsh,F,27,Brighton,21,595.0,9.5,1.0,1678.0,-39.0,-2.26,-0.71,24,5.0
Alisson,G,28,Liverpool,33,3150.0,54.5,1.88,1950.0,76.0,4.05,1.63,4,60.0
