Player,Pos,Age,Team,GP,MinOn,Win_pct,AdjPPG,End Elo,absDelta,relDelta,EPG,teamRank,Market Value
Aaron Cresswell,D,29,WestHam,20,1678,35.0,1.25,1668.0,5.0,0.3,0.34,20,10.0
Aaron Lennon,M,31,Burnley,16,1285,12.5,0.62,1619.0,-93.0,-5.44,-2.29,21,5.0
Aaron Mooy,M,28,Huddersfield,29,2473,10.3,0.59,1581.0,-46.0,-2.85,-0.75,13,14.0
Aaron Ramsey,F,28,Arsenal,28,1419,53.6,1.93,1885.0,130.0,7.39,2.85,2,40.0
Aaron Wan-Bissaka,D,21,CrystalPalace,35,3321,37.1,1.31,1797.0,52.0,2.98,1.09,2,35.0
Abdelhamid Sabiri,M,22,Huddersfield,2,49,0.0,0.5,1655.0,0.0,0.01,0.39,2,1.5
Abdoulaye Doucouré,M,26,Watford,35,3232,42.9,1.43,1721.0,30.0,1.75,0.7,8,25.0
Aboubakar Kamara,F,23,Fulham,13,738,7.7,0.62,1606.0,-66.0,-3.94,-1.69,18,2.75
Adam Lallana,M,30,Liverpool,13,506,61.5,2.23,1871.0,63.0,3.49,2.13,19,15.0
Adam Masina,D,25,Watford,14,1057,28.6,1.07,1674.0,-38.0,-2.2,-0.84,18,7.0
Adam Smith,D,28,Bournemouth,25,2176,44.0,1.4,1716.0,2.0,0.12,0.24,11,7.0
Adama Diakhaby,F,22,Huddersfield,12,584,0.0,0.42,1570.0,-73.0,-4.45,-1.96,17,8.0
Adama Traoré,D,23,Wolves,29,1005,17.2,0.97,1666.0,-20.0,-1.2,-0.22,19,15.0
Ademola Lookman,F,21,Everton,21,724,33.3,1.48,1740.0,21.0,1.21,0.72,12,20.0
Adrian Mariappa,D,32,Watford,26,2043,30.8,1.27,1712.0,9.0,0.52,0.38,10,3.0
Adrien Silva,M,29,Leicester,2,95,0.0,0.5,1700.0,-1.0,-0.03,0.35,18,13.0
Ainsley Maitland-Niles,D,21,Arsenal,16,1055,31.2,1.25,1744.0,-2.0,-0.13,0.19,28,12.0
Alberto Moreno,D,26,Liverpool,2,159,50.0,2.0,1838.0,-6.0,-0.33,0.13,22,9.0
Aleksandar Mitrović,F,24,Fulham,37,3455,18.9,0.7,1578.0,-88.0,-5.3,-1.37,23,25.0
Alex Iwobi,F,23,Arsenal,35,2079,42.9,1.69,1824.0,58.0,3.31,1.2,12,25.0
Alex McCarthy,G,29,Southampton,25,2387,20.0,0.92,1660.0,-34.0,-2.0,-0.55,23,5.0
Alex Oxlade-Chamberlain,M,25,Liverpool,2,26,50.0,2.0,1892.0,-0.0,-0.02,0.39,18,35.0
Alex Pritchard,F,26,Huddersfield,30,2182,10.0,0.63,1564.0,-76.0,-4.62,-1.32,19,9.0
Alexander Sørloth,F,23,CrystalPalace,12,241,16.7,1.08,1685.0,-29.0,-1.67,-0.61,23,6.0
Alexandre Lacazette,F,27,Arsenal,35,2637,51.4,1.8,1830.0,77.0,4.4,1.54,10,70.0
Alexis Sánchez,F,30,ManUnited,20,947,45.0,1.7,1820.0,23.0,1.28,0.78,9,35.0
Alfie Mawson,D,25,Fulham,15,1191,6.7,0.6,1610.0,-90.0,-5.29,-2.27,17,15.0
Alireza Jahanbakhsh,F,25,Brighton,19,1075,31.6,1.32,1655.0,-32.0,-1.89,-0.58,6,15.0
Alisson,G,26,Liverpool,38,3605,78.9,2.55,2008.0,193.0,10.63,3.44,7,80.0
Ander Herrera,M,29,ManUnited,22,1498,50.0,1.77,1848.0,84.0,4.78,2.17,2,25.0
Andre Gray,F,27,Watford,29,1460,34.5,1.41,1700.0,0.0,0.03,0.18,12,15.0
Andre-Frank Zambo Anguissa,M,23,Fulham,22,1588,27.3,0.91,1628.0,-53.0,-3.18,-1.03,13,25.0
Andreas Christensen,D,23,Chelsea,8,659,50.0,1.75,1828.0,26.0,1.46,1.21,13,30.0
Andreas Pereira,M,23,ManUnited,15,650,20.0,1.07,1694.0,-104.0,-5.8,-2.66,27,10.0
Andrew Robertson,D,25,Liverpool,36,3384,77.8,2.53,2017.0,182.0,9.9,3.36,6,60.0
Andrew Surman,M,32,Bournemouth,18,1520,27.8,0.89,1637.0,-79.0,-4.63,-1.81,26,2.5
Andriy Yarmolenko,M,28,WestHam,9,484,22.2,1.0,1715.0,24.0,1.4,1.1,14,20.0
Andros Townsend,M,27,CrystalPalace,38,3161,31.6,1.16,1751.0,19.0,1.08,0.47,8,15.0
André Gomes,M,25,Everton,27,2094,37.0,1.33,1697.0,-21.0,-1.2,-0.25,19,28.0
André Schürrle,F,28,Fulham,24,1697,8.3,0.58,1573.0,-99.0,-5.91,-2.01,24,12.0
Andy Carroll,F,30,WestHam,12,502,16.7,0.92,1658.0,-29.0,-1.74,-0.61,23,8.0
