Player,Pos,Age,Team,GP,MinOn,Win_pct,AdjPPG,End Elo,absDelta,relDelta,EPG,teamRank,Market Value
Raheem Sterling,F,23,ManCity,33,2714,81.8,2.58,2017.0,229.0,12.82,4.43,6,90.0
Rajiv van La Parra,F,26,Huddersfield,33,2225,18.2,0.91,1604.0,-37.0,-2.24,-0.55,23,4.0
Ramadan Sobhi,D,21,Stoke,24,1316,16.7,0.83,1604.0,-85.0,-5.03,-1.74,30,7.0
Ramiro Funes Mori,D,27,Everton,4,135,25.0,1.25,1725.0,-9.0,-0.51,-0.05,9,10.0
Reece Oxford,F,19,WestHam,1,8,0.0,1.0,1706.0,0.0,0.0,0.36,7,5.0
Rekeem Harper,M,17,WestBrom,1,26,0.0,1.0,1684.0,0.0,0.0,0.36,6,0.1
Renato Sanches,M,20,Swansea,12,745,8.3,0.67,1624.0,-63.0,-3.76,-1.71,20,20.0
Richarlison,M,21,Watford,38,2984,23.7,0.97,1605.0,-44.0,-2.65,-0.62,27,25.0
Riyad Mahrez,F,27,Leicester,36,3089,33.3,1.31,1751.0,49.0,2.9,1.0,3,50.0
Rob Elliot,G,31,Newcastle,16,1515,31.2,1.06,1674.0,4.0,0.24,0.32,18,1.5
Rob Holding,D,22,Arsenal,12,872,33.3,1.17,1726.0,-3.0,-0.2,0.14,25,7.0
Robbie Brady,M,25,Burnley,15,1342,46.7,1.67,1745.0,54.0,3.21,1.74,5,10.0
Roberto Firmino,F,26,Liverpool,37,2866,56.8,1.95,1911.0,103.0,5.71,1.93,2,80.0
Roberto Pereyra,M,27,Watford,32,1730,28.1,1.16,1636.0,-44.0,-2.63,-0.69,23,10.0
Rolando Aarons,M,22,Newcastle,4,151,25.0,1.0,1681.0,2.0,0.13,0.4,17,0.7
Romelu Lukaku,F,24,ManUnited,34,3025,67.6,2.18,1925.0,112.0,6.19,2.2,3,90.0
Roque Mesa,M,28,Swansea,11,787,9.1,0.55,1610.0,-61.0,-3.65,-1.7,21,7.0
Ross Barkley,M,24,Chelsea,2,131,0.0,0.0,1767.0,-31.0,-1.73,-1.04,25,25.0
Ruben Loftus-Cheek,M,22,CrystalPalace,24,1972,29.2,1.25,1730.0,75.0,4.55,1.86,6,15.0
Ryan Bertrand,D,28,Southampton,35,3218,20.0,1.0,1637.0,-61.0,-3.58,-0.96,24,20.0
Ryan Fraser,D,24,Bournemouth,26,2106,26.9,1.08,1690.0,22.0,1.33,0.64,10,6.0
Ryan Shawcross,D,30,Stoke,27,2505,22.2,0.96,1656.0,-20.0,-1.19,-0.26,10,10.0
Sadio Mané,F,26,Liverpool,29,2264,55.2,1.97,1888.0,116.0,6.56,2.5,6,70.0
Saido Berahino,F,24,Stoke,15,549,20.0,1.07,1621.0,-54.0,-3.24,-1.31,28,8.0
Salomón Rondón,F,28,WestBrom,36,2925,11.1,0.72,1596.0,-82.0,-4.89,-1.32,22,13.0
Sam Baldock,F,29,Brighton,2,43,0.0,0.5,1657.0,-22.0,-1.31,-0.64,15,3.0
Sam Byram,M,24,WestHam,5,263,20.0,1.0,1674.0,-31.0,-1.81,-0.92,18,4.0
Sam Clucas,M,27,Swansea,29,2154,17.2,0.83,1642.0,-58.0,-3.39,-1.02,12,8.0
Sam Field,M,19,WestBrom,10,564,30.0,1.3,1660.0,-42.0,-2.46,-1.13,9,1.5
Sam McQueen,D,23,Southampton,7,177,14.3,1.0,1716.0,11.0,0.67,0.68,2,1.0
Sam Vokes,F,28,Burnley,30,1117,23.3,1.17,1679.0,-51.0,-2.94,-0.86,20,6.0
Sandro Ramírez,F,22,Everton,8,298,12.5,0.88,1677.0,-58.0,-3.33,-1.77,23,10.0
Scott Arfield,M,29,Burnley,18,1396,16.7,0.94,1667.0,8.0,0.46,0.41,22,3.0
Scott Dann,D,30,CrystalPalace,17,1519,23.5,0.94,1661.0,10.0,0.59,0.47,22,5.0
Scott Malone,D,27,Huddersfield,22,1192,13.6,0.82,1582.0,-54.0,-3.32,-1.09,25,3.0
Scott McTominay,M,21,ManUnited,13,688,38.5,1.69,1814.0,12.0,0.66,0.59,22,7.0
Sead Kolašinac,D,24,Arsenal,27,2250,51.9,1.78,1809.0,31.0,1.72,0.82,9,18.0
Sebastian Prödl,D,30,Watford,21,1662,28.6,1.05,1598.0,-86.0,-5.08,-1.89,28,4.0
Serge Aurier,D,25,Tottenham,17,1498,64.7,2.18,1887.0,93.0,5.21,2.69,9,20.0
Sergio Agüero,F,29,ManCity,25,2052,80.0,2.56,2020.0,189.0,10.34,4.33,3,80.0
Sergio Romero,G,31,ManUnited,1,94,100.0,3.0,1815.0,0.0,0.0,0.36,21,5.0
Shane Duffy,D,26,Brighton,37,3462,21.6,1.0,1715.0,58.0,3.48,1.14,3,12.0
Shane Long,F,31,Southampton,30,1681,13.3,0.93,1642.0,-72.0,-4.22,-1.28,22,7.0
Shinji Okazaki,F,31,Leicester,27,1386,33.3,1.44,1777.0,42.0,2.42,1.05,1,6.0
Shkodran Mustafi,D,26,Arsenal,27,2393,55.6,1.78,1851.0,87.0,4.95,2.0,3,25.0
Simon Francis,D,33,Bournemouth,32,2867,28.1,1.16,1689.0,20.0,1.22,0.53,11,2.5
Simon Mignolet,G,29,Liverpool,19,1797,52.6,1.95,1850.0,79.0,4.48,2.2,13,10.0
Sofiane Boufal,F,24,Southampton,26,1301,23.1,1.19,1672.0,-30.0,-1.79,-0.48,13,12.0
