Player,Pos,Age,Team,GP,MinOn,Win_pct,AdjPPG,End Elo,absDelta,relDelta,EPG,teamRank,Market Value
Aaron Connolly,F,21,Brighton,4,176.0,50.0,1.75,1766.0,-1.0,-0.07,0.29,17,6.0
Aaron Cresswell,D,32,WestHam,31,2876.0,38.7,1.39,1809.0,-22.0,-1.19,-0.28,14,3.0
Aaron Lennon,M,35,Burnley,28,1638.0,14.3,0.93,1679.0,-45.0,-2.6,-0.78,18,1.0
Aaron Ramsdale,G,24,Arsenal,34,3247.0,61.8,1.94,1931.0,117.0,6.43,2.33,3,28.0
Aaron Wan-Bissaka,D,24,ManUnited,20,1894.0,35.0,1.25,1797.0,-73.0,-3.88,-1.65,25,25.0
Abdoulaye Doucouré,M,29,Everton,30,2707.0,30.0,1.07,1723.0,-76.0,-4.24,-1.37,24,22.0
Adam Armstrong,F,25,Southampton,23,1515.0,8.7,0.74,1667.0,-72.0,-4.16,-1.51,25,15.0
Adam Forshaw,M,30,Leeds,22,1638.0,22.7,1.05,1715.0,-65.0,-3.66,-1.37,24,2.0
Adam Idah,F,20,Norwich,17,694.0,17.6,1.06,1743.0,-3.0,-0.17,0.13,1,3.0
Adam Lallana,F,34,Brighton,24,1664.0,33.3,1.42,1766.0,-3.0,-0.2,0.11,18,2.0
Adam Masina,D,28,Watford,15,1153.0,20.0,0.87,1681.0,-83.0,-4.71,-2.17,11,3.0
Adam Webster,D,27,Brighton,22,1527.0,31.8,1.32,1816.0,42.0,2.38,1.2,9,17.0
Adama Traoré,F,25,Wolves,20,1156.0,30.0,1.3,1772.0,21.0,1.21,0.73,16,20.0
Ademola Lookman,M,24,Leicester,26,1526.0,26.9,1.19,1772.0,-29.0,-1.59,-0.46,24,10.0
Ainsley Maitland-Niles,M,24,Arsenal,8,300.0,25.0,1.12,1782.0,-12.0,-0.65,-0.15,25,10.0
Albert Sambi Lokonga,M,22,Arsenal,19,1216.0,26.3,1.21,1760.0,-38.0,-2.1,-0.78,26,14.0
Alex Iwobi,D,26,Everton,28,2161.0,32.1,1.18,1759.0,-36.0,-2.0,-0.59,15,18.0
Alex Král,F,23,WestHam,1,6.0,100.0,3.0,1826.0,0.0,0.0,0.39,11,7.0
Alex McCarthy,G,32,Southampton,17,1639.0,17.6,0.94,1715.0,-13.0,-0.76,-0.14,17,3.0
Alex Oxlade-Chamberlain,M,28,Liverpool,17,825.0,47.1,1.76,1863.0,21.0,1.13,0.79,27,16.0
Alex Telles,D,29,ManUnited,21,1766.0,38.1,1.52,1843.0,-3.0,-0.14,0.12,12,18.0
Alexandre Lacazette,F,30,Arsenal,30,1859.0,46.7,1.73,1867.0,71.0,3.97,1.59,11,15.0
Alexis Mac Allister,M,23,Brighton,33,2277.0,36.4,1.42,1830.0,44.0,2.49,0.99,7,16.0
Alisson,G,29,Liverpool,36,3414.0,75.0,2.44,2071.0,186.0,9.85,3.49,4,50.0
Allan,M,31,Everton,28,2301.0,25.0,1.04,1721.0,-71.0,-3.94,-1.33,26,15.0
Allan Saint-Maximin,F,25,Newcastle,35,2959.0,31.4,1.2,1770.0,25.0,1.45,0.6,14,32.0
